RHI Index;PD;DeltaPSE
3;20,607582;-6,78243391
1,833333333;248,3258439;-7,770982992
0,833333333;30,02433004;4,273587281
0,333333333;-72,08509219;4,643969197
3,666666667;23,05841759;-2,896272634
3,666666667;-259,2777797;-2,794653333
4;248,9664204;-3,188085967
-0,166666667;0;-3,56571521
-0,333333333;64,4047144;-2,283446416
1,333333333;207,0939095;3,765022059
3,833333333;221,5423445;-13,16754769
0,833333333;134,7383778;-1,975158466
3,166666667;133,7246248;-2,582142401
1,333333333;58,63984737;-5,517788705
3,5;33,23631728;-11,94451284
3;111,2170837;-2,043893721
1,666666667;-30,9409769;1,02281669
5;-55,15715421;-13,23960325
4;218,3015139;-4,050718979
1,5;609,1762281;-1,328137046
3,833333333;61,87436243;-7,272614186
3;176,2636245;-2,256795943
1;204,5392976;1,880095323
2,833333333;0;-2,428367533
-1,333333333;0;4,017351113
2,333333333;-18,62440427;-0,25410109
3,166666667;131,0878377;-3,84228698
3;16,52907588;-8,680539137
1,5;67,12495887;4,0711172
2,833333333;107,0844302;-0,949390883
3,666666667;78,46891284;1,144351122
5,333333333;20,607582;-5,208545857
3,5;20,607582;-5,886904103
3,333333333;-135,2960657;-3,039342683
2,5;90,1993652;-2,914546309
2,833333333;85,95969724;-0,267175125
3;99,86818293;-0,581551908
4;254,1557346;-12,04726885
4,166666667;238,2020245;-5,842312631
3,666666667;168,982738;-2,107637728
-1,333333333;184,9125028;2,265726105
2,666666667;35,55655961;-3,293757952
5;85,95969724;-1,659651464
1,166666667;313,3723847;-1,486137757
1,833333333;262,2233217;-1,548580831
1,5;81,11510185;-4,842134472
-0,333333333;-35,07234783;-4,856425748
0,666666667;-112,0854931;-4,615071938
2,166666667;66,60609419;0,907143467
2,833333333;168,668278;-2,852816622
3,333333333;64,1552586;-4,656098342
3,166666667;166,9805859;-0,339502805
5;37,8651437;1,031209965
3,333333333;25,02326709;2,16806508
3,5;30,02433004;-1,911911316
0;26,12579588;3,959876108
1,333333333;300,0021439;-8,432785614
2,333333333;-95,814745;-9,382307997
0,5;0;-4,264549238
1,833333333;-152,2991126;-7,852520431
-0,666666667;69,24323189;-6,413327814
4,333333333;107,1141868;2,709498725
2,5;195,5961032;-4,53910265
4,333333333;51,14906297;-8,986085465
2,5;-26,47168577;-1,693777887
1;0;-3,417188068
1,666666667;422,0737424;-2,35179852
4,333333333;-30,02433004;-2,117063984
4;55,9353672;-0,87265046
